Sigle	Aufbewahrungsort	Signatur	Druck	Handschrift_Druck	Prosa_Vers	Datum	Sprache	Sprachtyp	Sprachraum	Token	Kenn-Name	URL_Faksimile
B1523	Königliche Bibliothek der Niederlande	NK 119	1523 gedruckt in Utrecht bei Jan Berntsz	Dr	P	1st half of 16th century	nl.	NA	NA	7515	Utrecht_Berntsz_1532	
b	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz (SBBPK)	Fragm. 4		Hs	V	2nd half of 14th century	fnhd.	md. (omd.)	obs.	2150	b_Berlin_Fragm.4	
b2	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz (SBBPK)	Ms. germ. fol. 736		Hs	P	15th century	ndd.	ofäl.	elbofäl.	800	b2_Berlin_mgf736	https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN66501970X&PHYSID=PHYS_0064&DMDID=DMDLOG_0017
B	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz (SBBPK)	Ms. germ. octav. 183		Hs	P	15th century	fnhd.	md. (omd.)	thür.	5390	B_Berlin_mgo183	
B2	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz (SBBPK)	Ms. germ. qu. 2025		Hs	P	2nd half of 15th century	fnhd.	md. (wmd)	rhfrk.	9166	B2_Berlin_mgp2025	
B3	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz (SBBPK)	Ms. germ. fol. 1714		Hs	P	2nd half of 15th century	fnhd.	obd. (oobd.)	mbair.	6188	B3_Berlin	https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN722474105&PHYSID=PHYS_0241&DMDID=DMDLOG_0005
Ba	Staatsbibliothek Bamberg	Msc. Lit. 176		Hs	P	2nd half of 15th century	fnhd.	obd. (nobd.)	nbair./ofrk.	6433	Ba_Bamberg_Msc.Lit.176	
Ba2	Staatsbibliothek Bamberg	Msc. Lit. 176		Hs	P	2nd half of 15th century	fnhd.	obd. (nobd.)	nbair./ofrk.	5952	Ba2_Bamberg_Msc.Lit.176	
Be	Burgerbibliothek Bern	Mss. h.h. X.50		Hs	P	2nd half of 15th century	fnhd.	obd. (wobd.)	hchalem.	8196	Be_Bern_Mss.h.h.X.50	
D	Anhaltische Landesbücherei Dessau	Hs. Georg. 73.8°		Hs	V	2nd half of 14th century	fnhd.	mrk.	smrk.	7488	D_Dessau_Hs.Georg.73.8°	
D2	Anhaltische Landesbücherei Dessau	Hs. Georg. 73.8°		Hs	V	2nd half of 14th century	ndd.	mrk.	smrk.	7441	D2_Dessau_Hs.Georg.73.8°	
D3	Anhaltische Landesbücherei Dessau	Hs. Georg. 24.8° (4°)		Hs	V	2nd half of 15th century	ndd.	md. (omd.)	thür.	5701	D3_Dessau_Hs.Georg.24,8°(4°)	
D4	Anhaltische Landesbücherei Dessau	Hs. Georg. 65.8°		Hs	P	2nd half of 15th century	fnhd.	obd./md. (wobd./wmd.)	schwäb./rhfrk.	6404	D4_Dessau_Hs.Georg.65.8°	
f	Dombibliothek St. Marien Fürstenwalde	Fragm. ohne Signatur		Hs	V	2nd half of 15th century	ndd.	nndd	östl. nndd.	2098	f_Fürstenwalde_oSignatur	
H	Universitäts- und Landesbibliothek Sachsen-Anhalt	Quedl. Cod. 141		Hs	P	1st half of 16th century	fnhd.	md. (omd.)	obs.	8435	H_Halle_Qu.Cod.141	
hb	Staats- und Universitätbibliothek Hamburg	Cod. 17 in scrin. Fragm. 15		Hs	V	2nd half of 15th century	ndd.	nndd.	östl. nndd.	73	hb_Hamburg_Cod.inscrin.17,Frgm.15	
Hk	Stiftsbibliothek Heiligenkreuz	Cod. 339		Hs	P	16th century	fnhd.	obd. (oobd.)	mbair.	8709	Hk_Heiligenkreuz_Cod.339	
Ka	Badische Landesbibliothek Karlsruhe	Cod. Donaueschingen 116		Hs	P	1st half of 14th century	fnhd.	obd. (wobd.)	hchalem./ndalem.	14824	Ka_Karlsruhe_Cod	
Kh	Königliche Bibliothek Kopenhagen (Det Kongelige Bibliotek København)	Cod. Thott. 109,4°		Hs	V	1st half of 15th century	ndd.	nndd.	NA	7095	Kh_Kopenhagen_Cod.Thott.109,4°	
Le	Universiteit Leiden - Bibliotheken	 LTK 226		Hs.	O	2nd half of 15th century	nl.	NA	NA	7175	Le1_Leiden_Hs.Ltk.226	
M	Bayerische Staatsbibliothek München (BSB)	Clm 23371		Hs	P	2nd half of 14th century	fnhd.	obd. (oobd.)	mbair.	10279	M_München_clm23371	http://daten.digitale-sammlungen.de/~db/0006/bsb00069143/images/index.html?id=00069143&groesser=&fip=193.174.98.30&no=&seite=262
M2	Bayerische Staatsbibliothek München (BSB)	Cgm 839		Hs	P	1st half of 15th century	fnhd.	obd. (oobd.)	mbair.	8729	M2_München_cgm839	
M3	Bayerische Staatsbibliothek München (BSB)	Cgm 485		Hs	P	2nd half of 15th century	fnhd.	obd. (oobd.)	mbair.	7967	M3_München_cgm485	http://daten.digitale-sammlungen.de/~db/0006/bsb00069146/images/index.html?id=00069146&groesser=&fip=193.174.98.30&no=&seite=184
M4	Bayerische Staatsbibliothek München (BSB)	Cgm 484		Hs	P	2nd half of 15th century	fnhd.	obd. (nobd.)	nbair./ofrk.	8571	M4_München_cgm484	http://daten.digitale-sammlungen.de/~db/0006/bsb00069147/images/index.html?id=00069147&groesser=&fip=193.174.98.30&no=&seite=9
M5	Bayerische Staatsbibliothek München (BSB)	Cgm 4698		Hs	P	2nd half of 15th century	fnhd.	obd. (oobd.)	mbair.	4701	M5_München_cgm4698	
M6	Bayerische Staatsbibliothek München (BSB)	Cgm 486		Hs	P	2nd half of 15th century	fnhd.	obd. (oobd.)	mbair.	4636	M6_München_cgm486	http://daten.digitale-sammlungen.de/~db/0006/bsb00069145/images/index.html?id=00069145&groesser=&fip=193.174.98.30&no=&seite=437
M7	Bayerische Staatsbibliothek München (BSB)	Cgm 473		Hs	P	2nd half of 15th century	fnhd.	obd. (oobd.)	mbair.	4644	M7_München_cgm473	http://daten.digitale-sammlungen.de/~db/0006/bsb00069148/images/index.html?id=00069148&groesser=&fip=193.174.98.30&no=&seite=7
M8	Bayerische Staatsbibliothek München (BSB)	Cgm 134		Hs	P	2nd half of 15th century	fnhd.	obd. (oobd.)	mbair.	8446	M8_München_cgm134	http://daten.digitale-sammlungen.de/~db/0009/bsb00095928/images/index.html?id=00095928&groesser=&fip=eayaewqsdaseayasdasxseayaewqxsxdsydsdasewq&no=7&seite=11
M9	Bayerische Staatsbibliothek München (BSB)	Cgm 4701		HS	P	2nd half of 15th century	fnhd.	obd. (oobd.)	mbair.	4707	M9_München_cgm4701	http://daten.digitale-sammlungen.de/~db/0010/bsb00104163/images/index.html?id=00104163&groesser=&fip=eayaewqsdaseayasdasxseayaewqxsxdsydsdasewq&no=8&seite=511
M10	Bayerische Staatsbibliothek München (BSB)	Clm 14945		Hs	P	1st half of 16th century	fnhd.	obd. (oobd.)	mbair.	4373	M10_München_clm14945	http://daten.digitale-sammlungen.de/~db/0006/bsb00069144/images/index.html?id=00069144&groesser=&fip=193.174.98.30&no=&seite=126
Me	Stiftsbibliothek Melk	Cod. 55 (178; D 15)		Hs	P	1st half of 15th century	fnhd.	obd. (oobd.)	mbair.	4770	Me_Melk_Cod	http://manuscripta.at/diglit/AT6000-55/0357?sid=55552b438a7eca57c7af632077ea602c
n	Stadtbibliothek Nürnberg	Cod. Cent. VII, 55		Hs	P	2nd half of 15th century	fnhd.	obd. (nobd.)	nbair./ofrk.	9162	n_Nürnberg_Cent.VII,55	
N	Stadtbibliothek Nürnberg	Cod. Cent. VI, 44		Hs	P	1st half of 15th century	fnhd.	obd. (nobd.)	nbair./ofrk./thür.	13284	N_Nürnberg_Cent.VI,44	
N2	Stadtbibliothek Nürnberg	Cod. Cent. VI, 46f		Hs	P	2nd half of 15th century	fnhd.	obd. (nobd.)	nbair./ofrk.	7480	N2_Nürnberg_Cent.VI,46f	
N3	Stadtbibliothek Nürnberg	Cod. Cent. VI, 86		Hs	P	1st half of 15th century	fnhd.	obd. (nobd.)	nbair./ofrk.	4262	N3_Nürnberg_Cent.VI,86	
N4	Germanisches Nationalmuseum Nürnberg	Hs. 23212		Hs	P	15th century	fnhd.	obd. (wobd./oobd.)	alem./bair.	8596	N4_Nürnberg_Hs.23212	
O	Landesbibliothek Oldenburg	Cim I 74		Hs	V	2nd half of 14th century	ndd.	ofäl.	NA	7261	O_Oldenburg_CimI74	
s1	Landeshauptarchiv Schwerin	Hss.-Fragm. (8)		Hs	P	2nd half of 14th century	nd.	nndd.	östl. nndd.	663	s_Schwerin_oSignatur	
Sa	Benediktinerkollegium Sarnen	Cod. chart. 125		Hs	P	2nd half of 15th century	fnhd.	obd. (wobd.)	hchalem.	8709	Sa_Sarnen_Cod.chart.125	
Sa2	Benediktinerkollegium Sarnen	Cod. membr. 33		Hs	P	2nd half of 15th century	fnhd.	obd. (wobd.)	hchalem.	8669	Sa2_Sarnen_Cod.membr.33	
Sb	Stiftsbibilothek Nonnberg Salzburg	Cod. 23 A 22		Hs	P	1st half of 15th century	fnhd.	obd. (oobd.)	mbair.	7473	Sb_Salzburg_Cod.23A22	
SG	Stiftsbibliothek St. Gallen	Cod. 1006		Hs	P	1st half of 16th century	fnhd.	obd. (wobd.)	hchalem.	7914	SG_St.Gallen_Cod.Sang.1006	
sl 	Pfarrarchiv St. Leonhard, Passeiertal/Südtirol	Fragm. ohne Signatur		Hs		2nd half of 15th century	fnhd.	obd. (oobd.)	NA	183	sl_St.Leonhard_oSignatur	
SP	Nationalbibliothek St. Petersburg	Fond 955 op. 2 Nr. 51		Hs	V	2nd half of 15th century	ndd.	nndd.	NA	7061		
St	Bibliothèque Nationale et Universitaire de Strasbourg	Ms. 2267		Hs	P	2nd half of 15th century	fnhd.	md. (wmd.)	rhfrk.-hess.	7380	St_Strassburg_Ms. 2267	
St2	Stadtbibliothek Straßburg	Cod. A 100 [orig. Hs]; Ms. 489 [Abschrift]		Hs	P	14th century	fnhd.	obd. (wobd.)	alem.	8857	St2_Straßburg	
Stu	Württembergische Landesbibliothek Stuttgart	Cod. bibl. 2° 35		Hs	P	1st half of 15th century	fnhd.	obd. (wobd.)	schwäb.	8659	Stu_Stuttgart_Cod.bibl.2°35	http://digital.wlb-stuttgart.de/sammlungen/sammlungsliste/werksansicht/?id=6&no_cache=1&tx_dlf%5Bid%5D=2330&tx_dlf%5Bpage%5D=196
T	Slezské zemské muzeum Opava / Troppau (Nordmähren)	Cod. RA-6		Hs	P	14th century	fnhd.	obd. (oobd.)	mbair.	9835		
W	Österreichische Nationalbibliothek Wien	Cod. 2969		Hs	P	1st half of 15th century	fnhd.	obd. (oobd.)	mbair.	8582	W_Wien_Cod.2969	
We	Herzogin Anna Amalia Bibliothek Weimar	Cod. Oct. 4		Hs	P	2nd half of 15th century	fnhd.	obd. (oobd.)	mbair.	6657	We_Weimar_Cod.Oct.4	https://ora-web.swkk.de//digimo_online/digimo.Digitalisat_anzeigen?p_id=13515&p_sort=10&p_ab=0
Wo	Herzog August Bibliothek Wolfenbüttel	Cod. Guelf.	1082 Helmst.	HS	P	1st half of 14th century	ndd.	ofäl.	südl. ofäl.	4875	Wo_HAB_1082Helmst	
HA1521	Staats- und Universitätbibliothek Hamburg	Inc. App. A/106	1521 gedruckt in Lübeck bei Hans Arndes	Dr	V	1st half of 16th century	ndd.	nndd.	NA	7065	Lübeck_Arndes_1521	
KÄ1492	Bibliothèque Nationale de France	Res-D 9903	1492 gedruckt in Köln bei Johann Koelhoff d. Ä.	Dr	V	2nd half of 15th century	fnhd.	md. (wmd.)	rip.	7577	Köln_Koelhoffd.Ä._1492	
